Sound Analyzer App: v2.4
Mode : 	Bandes de ⅓ d'Octave / A-Weighting / Fast-Weighting (125 ms)
Unité : 	 dBA
Dernier calibrage : 	3 févr. 2021 - 16:11:45
Date : 	27 mai 2021
Heure : 	11:53:15 a.m.
Durée (s) : 	12.260136
Overflow : 	0
Temps (s) :  / Fréquences médianes	25 Hz	31.5 Hz	40 Hz	50 Hz	63 Hz	80 Hz	100 Hz	125 Hz	160 Hz	200 Hz	250 Hz	315 Hz	400 Hz	500 Hz	630 Hz	800 Hz	1000 Hz	1250 Hz	1600 Hz	2000 Hz	2500 Hz	3150 Hz	4000 Hz	5000 Hz	6300 Hz	8000 Hz	10000 Hz	12500 Hz	16000 Hz	Global
5.572789	-16.46	-8.85	-3.20	2.86	8.14	4.35	9.41	11.52	15.65	19.79	23.47	27.69	30.82	34.31	37.45	41.04	41.65	39.48	46.49	44.96	43.71	41.98	39.27	37.58	40.91	45.19	47.89	39.50	37.09	54.73
5.665669	-18.13	-9.77	-4.04	1.47	5.55	4.92	8.08	9.76	16.37	20.35	24.20	27.47	32.33	34.28	37.28	40.93	41.40	39.70	45.70	44.53	43.36	42.69	39.86	37.61	41.44	45.22	47.80	39.47	36.94	54.61
5.758549	-19.55	-11.27	-6.23	-0.73	5.84	5.87	10.75	12.89	15.52	19.26	24.12	28.59	32.90	33.53	37.88	39.95	41.47	40.02	45.88	44.55	43.27	42.73	39.27	37.16	41.32	45.17	47.92	40.07	37.13	54.63
5.851429	-20.51	-12.38	-5.53	2.83	3.89	4.26	10.28	11.55	19.10	19.03	23.84	28.80	31.66	33.41	36.46	40.65	41.11	39.79	46.43	44.98	43.39	42.34	38.84	37.38	41.46	45.17	48.21	39.96	36.90	54.75
5.944308	-16.17	-10.31	-5.51	2.49	3.26	3.95	8.96	9.88	17.66	18.89	24.05	29.46	31.38	32.05	35.12	40.78	40.53	39.74	46.06	45.18	43.80	42.88	39.63	38.09	41.25	45.61	48.10	39.99	36.77	54.79
6.037188	-15.09	-10.19	-4.53	1.56	0.84	3.95	8.64	10.97	19.28	18.55	22.76	28.19	31.49	32.53	35.71	39.60	40.43	40.80	46.17	45.50	43.60	43.02	40.06	37.26	41.00	45.56	47.60	39.59	36.78	54.70
6.130068	-17.69	-11.07	-5.13	0.35	0.90	3.73	11.59	14.18	17.01	18.52	22.97	27.09	31.00	31.90	35.52	38.71	39.57	40.60	45.88	45.42	43.03	42.44	40.19	36.87	41.63	45.68	47.42	39.76	37.28	54.52
6.222948	-18.52	-12.91	-6.56	0.16	1.61	7.75	10.04	14.85	15.61	18.68	23.60	26.55	30.03	30.62	35.73	39.79	40.32	40.99	45.82	45.24	43.38	42.33	40.15	37.56	41.18	45.91	47.79	39.89	37.31	54.68
6.315828	-18.57	-14.27	-5.76	1.39	4.79	5.78	9.27	12.42	15.93	18.41	22.38	27.21	29.92	29.51	36.17	39.14	40.43	40.22	45.59	44.71	43.09	41.72	39.16	36.78	41.24	45.78	47.91	39.46	37.07	54.43
6.408707	-19.81	-13.23	-3.50	0.18	5.59	6.06	11.90	14.05	17.33	18.93	23.99	26.72	31.31	31.44	36.01	38.50	40.36	40.04	45.23	45.43	43.56	42.62	40.13	38.21	41.62	45.88	48.74	39.56	37.47	54.83
